arch,sigma_read,depth,seed,run_name,chip,trial,auc,pauc,auc_id1,auc_id2,auc_id3,auc_id4
none,0.08,2,2,arch_none_r0.08_d2_s2,4,0,0.7332250980151924,0.6187365927683703,0.6814610389610389,0.7295094339622642,0.630188679245283,0.8917412398921833
none,0.08,2,2,arch_none_r0.08_d2_s2,5,0,0.7132338683329249,0.6066116728356052,0.6479004329004329,0.7256711590296496,0.6092291105121294,0.8701347708894879
none,0.08,2,2,arch_none_r0.08_d2_s2,6,0,0.6997915033080128,0.5908179002394494,0.6532792207792207,0.716010781671159,0.5967439353099732,0.8331320754716981
none,0.08,2,2,arch_none_r0.08_d2_s2,7,0,0.7049632953524463,0.6014954302566021,0.6353787878787879,0.7172291105121293,0.6009595687331537,0.8662857142857143
none,0.08,2,2,arch_none_r0.08_d2_s2,8,0,0.7131153516295026,0.606035349952927,0.6537012987012987,0.7227385444743936,0.6082803234501348,0.8677412398921832
none,0.08,2,2,arch_none_r0.08_d2_s2,9,0,0.7086110124152577,0.603975365085097,0.6562445887445887,0.7289056603773585,0.6012938005390835,0.8480000000000001
per_layer,0.08,2,0,arch_per_layer_r0.08_d2_s0,0,0,0.725086508617169,0.6205792139009616,0.6745562770562772,0.7348787061994608,0.6015633423180593,0.8893477088948787
per_layer,0.08,2,0,arch_per_layer_r0.08_d2_s0,1,0,0.7281221208037246,0.6208418236844254,0.6837337662337664,0.7223396226415095,0.6154609164420486,0.8909541778975741
per_layer,0.08,2,0,arch_per_layer_r0.08_d2_s0,2,0,0.7398558666176591,0.624830999024147,0.6900757575757576,0.7398274932614556,0.627234501347709,0.9022857142857142
per_layer,0.08,2,0,arch_per_layer_r0.08_d2_s0,3,0,0.730313372947807,0.6214118594083837,0.6778896103896104,0.7214231805929919,0.6188032345013477,0.9031374663072778
per_layer,0.08,2,0,arch_per_layer_r0.08_d2_s0,4,0,0.7316150351221105,0.6222583151704304,0.6747943722943723,0.7205822102425876,0.6431374663072775,0.8879460916442048
per_layer,0.08,2,0,arch_per_layer_r0.08_d2_s0,5,0,0.7392345319774565,0.6284455779242274,0.688603896103896,0.7343611859838274,0.6284420485175203,0.9055309973045822
per_layer,0.08,2,0,arch_per_layer_r0.08_d2_s0,6,0,0.7121727313566937,0.6147963712884269,0.6602380952380953,0.715611859838275,0.5893261455525606,0.8835148247978437
per_layer,0.08,2,0,arch_per_layer_r0.08_d2_s0,7,0,0.7309020358572245,0.62124764097207,0.6761580086580088,0.7282156334231806,0.6232129380053908,0.8960215633423181
per_layer,0.08,2,0,arch_per_layer_r0.08_d2_s0,8,0,0.7325293126684636,0.6194003985091374,0.6867857142857143,0.7328625336927223,0.6194070080862534,0.8910619946091645
per_layer,0.08,2,0,arch_per_layer_r0.08_d2_s0,9,0,0.7190295679163603,0.6146925525649458,0.6827705627705627,0.7282479784366577,0.5966253369272237,0.8684743935309972
